case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations
fixed-count,random,0,100,9001,write,24,weak,14556.8,1048601,1048601,1048600,184,1,4,0.00540541,,,
fixed-count,random,0,100,9001,query,0,,116.875,,160,160,160,0,4,0,160,1,0
fixed-count,random,0,100,9001,query,1,,38.959,,160,160,160,0,4,0,160,1,0
fixed-count,random,0,100,9001,query,2,,29.417,,160,160,160,0,4,0,160,1,0
fixed-count,random,0,100,9001,query,3,,25.125,,160,160,160,4,4,0.0243902,160,1,0
fixed-count,random,0,100,9001,query,4,,118.875,,1048580,160,160,4,4,0.0243902,1048580,1,4
fixed-count,random,0,100,9001,query,5,,40.584,,1048580,160,160,4,4,0.0243902,1048580,1,4
fixed-count,random,0,100,9001,query,6,,27.708,,1048580,160,160,4,4,0.0243902,1048580,1,4
fixed-count,random,0,100,9001,query,7,,12603.2,,1048584,1048580,164,4,4,0.0238095,1048584,1,4
fixed-count,random,0,100,9001,query,8,,24.958,,1048584,1048580,164,4,4,0.0238095,1048584,1,4
fixed-count,random,0,100,9001,query,9,,27.166,,1048584,1048580,164,4,4,0.0238095,1048584,1,4
fixed-count,random,0,100,9001,query,10,,22.125,,1048584,1048580,164,4,4,0.0238095,1048584,1,4
fixed-count,random,0,100,9001,query,11,,25.375,,1048584,1048580,164,4,4,0.0238095,1048584,1,4
fixed-count,random,0,100,9001,query,12,,10746.5,,1048588,1048584,168,4,4,0.0232558,1048588,1,4
fixed-count,random,0,100,9001,query,13,,32.959,,1048588,1048584,168,4,4,0.0232558,1048588,1,4
fixed-count,random,0,100,9001,query,14,,34.667,,1048588,1048584,168,4,4,0.0232558,1048588,1,4
fixed-count,random,0,100,9001,query,15,,31.083,,1048588,1048584,168,4,4,0.0232558,1048588,1,4
fixed-count,random,0,100,9001,query,16,,42.25,,1048588,1048584,168,4,4,0.0232558,1048588,1,4
fixed-count,random,0,100,9001,query,17,,11398.2,,1048592,1048588,172,4,4,0.0227273,1048592,1,4
fixed-count,random,0,100,9001,query,18,,32.042,,1048592,1048588,172,4,4,0.0227273,1048592,1,4
fixed-count,random,0,100,9001,query,19,,36,,1048592,1048588,172,4,4,0.0227273,1048592,1,4
fixed-count,random,0,100,9001,query,20,,40.958,,1048592,1048588,172,4,4,0.0227273,1048592,1,4
fixed-count,random,0,100,9001,query,21,,12404.5,,1048596,1048592,176,4,4,0.0222222,1048596,1,4
fixed-count,random,0,100,9001,query,22,,54.208,,1048596,1048592,176,4,4,0.0222222,1048596,1,4
fixed-count,random,0,100,9001,query,23,,24.417,,1048596,1048592,176,4,4,0.0222222,1048596,1,4
fixed-count,random,0,100,9001,query,24,,23.958,,1048596,1048592,176,4,4,0.0222222,1048596,1,4
fixed-count,random,0,100,9001,query,25,,26.791,,1048596,1048592,176,4,4,0.0222222,1048596,1,4
fixed-count,random,0,100,9001,query,26,,14965.9,,1048600,1048596,180,4,4,0.0217391,1048600,1,4
fixed-count,random,0,100,9001,query,27,,34.291,,1048600,1048596,180,4,4,0.0217391,1048600,1,4
fixed-count,random,0,100,9001,query,28,,22.875,,1048600,1048596,180,4,4,0.0217391,1048600,1,4
fixed-count,random,0,100,9001,query,29,,21.792,,1048600,1048596,180,4,4,0.0217391,1048600,1,4
fixed-count,random,0,100,9001,query,30,,30.209,,1048600,1048596,180,4,4,0.0217391,1048600,1,4
fixed-count,random,0,100,9001,query,31,,6399.12,,1048601,1048600,184,1,4,0.00540541,1048601,1,1
fixed-count,random,0,100,9001,fence,0,stable,7375.08,,,,,,,,,,
exchange-random,random,0,100,9001,write,0,weak,1229.08,1048577,1048577,160,160,1,8,0.00621118,,,
exchange-random,random,0,100,9001,write,1,weak,5036.46,1048580,1048580,160,160,4,8,0.0243902,,,
exchange-random,random,0,100,9001,write,2,weak,1998.38,1048578,1048578,160,160,2,8,0.0123457,,,
exchange-random,random,0,100,9001,write,3,weak,3657.79,1048579,1048579,160,160,3,8,0.0184049,,,
exchange-random,random,0,100,9001,write,4,weak,6033.25,1048581,1048581,160,160,5,8,0.030303,,,
exchange-random,random,0,100,9001,write,5,weak,6564.92,1048582,1048582,160,160,6,8,0.0361446,,,
exchange-random,random,0,100,9001,write,6,weak,6373,1048583,1048583,160,160,7,8,0.0419162,,,
exchange-random,random,0,100,9001,write,7,weak,6521.25,1048584,1048584,160,160,8,8,0.047619,,,
