case,workload,repetition,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,frontier_ok,recovery_ok,strict_ok
strict-random,random,24,4,199.396,16342.3,30402.2,31809.7,0,0,0,5763.54,34.812,17668.2,26704.9,171.52,1.48,2,2,0.2,12,13,13,0,95.7103,1.92308,12,0,0,1.04853,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,24,4,251.154,12038.8,18756,24969.1,0,0,0,9113.25,37.1665,9852.89,15162.2,170.56,2.44,4,4,0.0243902,6,7,7,0,60.2768,3.57143,6,0,0,1.1416,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,24,4,359.004,11029.6,16312.8,17173.9,0,0,0,1147.58,9.417,19.3394,51322,170.92,2.08,4,1638,0.0243902,7,8,8,0,100.521,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,24,4,255.523,15118.8,19369.3,19748.2,0,0,0,6330.88,10.771,14254.3,17489.7,171.52,1.48,2,2,0.2,12,13,13,0,122.651,1.92308,12,0,0,3.63436,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,24,4,342.029,0,0,0,10761.9,12868.9,12876.5,1145.42,11.0835,8583.31,10228.2,174.44,0,0,0,0.4,7,7,7,0,95.7681,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,24,4,155.754,4102.94,5919.9,6081.41,28827.1,35566.3,37121,1163.21,34.3125,26609.7,30751.9,173.8,0.4,4,9,0.0243902,22,22,22,0,137.064,1.13636,16,0,0,2.53086,1,6.299,0,0,0,0,0,0,1,1,1
exchange-random,random,25,4,470.668,6316.58,12937.6,13500.7,0,0,0,7054.5,35.3125,8572.57,11991.8,168.32,4.68,9,9,0.0486486,2,3,3,0,37.6535,8.33333,2,0,0,1.04299,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
exchange-hot,hot,25,4,489.788,6915.71,12046.9,12410.2,0,0,0,5976.33,30.167,7768.15,10976.3,168.32,4.68,9,9,0.0486486,2,3,3,0,39.183,8.33333,2,0,0,4.24382,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
strict-hot,hot,25,4,235.668,16011.2,22807.6,22972.5,0,0,0,6644.17,36.6875,11157.5,15484.9,171.52,1.48,2,2,0.2,12,13,13,0,113.121,1.92308,12,0,0,3.86886,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,25,4,308.611,12122.8,16302.6,16714.5,0,0,0,6164.21,38.958,12991.2,15586.4,170.56,2.44,4,4,0.0243902,6,7,7,0,74.0667,3.57143,6,0,0,0.890905,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,25,4,220.724,16453.5,28986,29738.3,0,0,0,6910.75,27.708,6342.77,24173.8,171.52,1.48,2,2,0.2,12,13,13,0,105.948,1.92308,12,0,0,0.64481,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,25,4,311.343,11868.8,18069.2,19218.9,0,0,0,1158.29,49.021,80.1023,58734.4,170.92,2.08,4,1638,0.0243902,7,8,8,0,87.176,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
stable-group,random,25,4,295.712,0,0,0,11836.3,15666.7,15675.1,1156.79,37.5625,10821.6,13546.9,174.44,0,0,0,0.4,7,7,7,0,82.7995,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,25,4,118.808,3540.65,5131.8,5269.49,36758.2,49035.5,49039.1,1156.08,39.229,31406.4,43920.3,173.8,0.4,4,9,0.0243902,22,22,22,0,104.551,1.13636,16,0,0,2.53086,1,5.576,0,0,0,0,0,0,1,1,1
exchange-hot,hot,26,4,397.615,9888.75,13807.2,14866.2,0,0,0,7422.75,45.9585,9738.07,11179.4,168.32,4.68,9,9,0.0486486,2,3,3,0,31.8092,8.33333,2,0,0,4.25335,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
strict-random,random,26,4,150.656,21251.1,33903.9,37682.8,0,0,0,6175.58,38.396,24183.7,31257.3,171.52,1.48,2,2,0.2,12,13,13,0,72.3148,1.92308,12,0,0,0.630186,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,26,4,341.628,11152.7,14991.6,15067.7,0,0,0,5798.79,40.917,10822,13229.6,170.56,2.44,4,4,0.0243902,6,7,7,0,81.9907,3.57143,6,0,0,0.651346,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,26,4,237.567,0,0,0,13730,24753.8,24772,1162.75,50.375,11827.2,13316.4,174.44,0,0,0,0.4,7,7,7,0,66.5188,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,26,4,140.866,31687.8,39292.6,43475.6,0,0,0,7893.54,50.8335,33078.3,36497.8,171.52,1.48,2,2,0.2,12,13,13,0,67.6157,1.92308,12,0,0,3.41899,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-random,random,26,4,317.073,12689.5,18118.3,19780.5,0,0,0,5883.12,49.729,10093.6,17107.9,168.32,4.68,9,9,0.0486486,2,3,3,0,25.3659,8.33333,2,0,0,0.967734,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
exchange-hot-guard,hot,26,4,110.041,4464.88,7369.82,7582.6,38741.4,52884.1,52895.9,1179,52.375,19678,37124.3,173.8,0.4,4,9,0.0243902,22,22,22,0,96.8358,1.13636,16,0,0,2.53086,1,7.762,0,0,0,0,0,0,1,1,1
fixed-time,random,26,4,326.34,11432.5,16635,16752,0,0,0,1153.71,46.604,74.4795,16962.5,170.92,2.08,4,1638,0.0243902,7,8,8,0,91.3751,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-count,random,27,4,338.998,10805.6,17000.5,17333.7,0,0,0,7344.54,26.2705,10628.6,14762,170.56,2.44,4,4,0.0243902,6,7,7,0,81.3596,3.57143,6,0,0,1.0401,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-random,random,27,4,513.292,6108.92,11808.5,12200.5,0,0,0,7514.79,13.583,4926.83,9657.67,168.32,4.68,9,9,0.0486486,2,3,3,0,41.0633,8.33333,2,0,0,1.17048,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
strict-hot,hot,27,4,223.671,17586.7,20553.3,20722.4,0,0,0,6596.88,33.7085,15844.8,18840.6,171.52,1.48,2,2,0.2,12,13,13,0,107.362,1.92308,12,0,0,3.87749,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,27,4,113.423,3454.06,5139.68,5289.44,39560,51100,51116.6,1246.25,51.75,41716.5,48811,173.8,0.4,4,9,0.0243902,22,22,22,0,99.8124,1.13636,16,0,0,2.7033,1,5.405,0,0,0,0,0,0,1,1,1
fixed-time,random,27,4,321.301,11617.7,17112.1,17684.7,0,0,0,859.458,33.7915,117.312,55951.9,170.92,2.08,4,1638,0.0243902,7,8,8,0,89.9643,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,27,4,338.887,10789.1,23486,24473.7,0,0,0,6541.33,32.6255,7720.65,19164.3,168.32,4.68,9,9,0.0486486,2,3,3,0,27.111,8.33333,2,0,0,4.22851,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
strict-random,random,27,4,230.825,16871.7,20510.5,20592.5,0,0,0,9042,49.5625,8355.43,14931.9,171.52,1.48,2,2,0.2,12,13,13,0,110.796,1.92308,12,0,0,1.54685,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,27,4,259.569,0,0,0,13749.6,15857.5,15868.2,1153,42.146,11524.7,13844,174.44,0,0,0,0.4,7,7,7,0,72.6792,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,28,4,294.438,12834.6,20963.9,23309.7,0,0,0,930.917,34.6245,237.275,18543.8,170.92,2.08,4,1638,0.0243902,7,8,8,0,82.4427,3.125,0,8,0,0.85,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,28,4,159.036,20876.8,39065.9,41784.6,0,0,0,7741.83,48.104,21387.1,29880.4,171.52,1.48,2,2,0.2,12,13,13,0,76.3373,1.92308,12,0,0,3.61835,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,28,4,81.1453,3622.83,5514.61,5686.16,51903.5,78235.1,78265.7,1165.46,53.1455,18035.7,61696.3,173.8,0.4,4,9,0.0243902,22,22,22,0,71.4078,1.13636,16,0,0,2.53086,1,6.022,0,0,0,0,0,0,1,1,1
exchange-random,random,28,4,467.106,6813.83,12563.6,12643.8,0,0,0,6768.88,38.5415,8135.7,11079.7,168.32,4.68,9,9,0.0486486,2,3,3,0,37.3685,8.33333,2,0,0,0.910154,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
stable-group,random,28,4,283.819,0,0,0,11873.5,15853.6,15899.1,1157.79,35.4375,13050.7,14807.3,174.44,0,0,0,0.4,7,7,7,0,79.4694,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-count,random,28,4,286.931,13383.9,19116.2,19835.3,0,0,0,6907.04,39.8335,6426.71,11878.9,170.56,2.44,4,4,0.0243902,6,7,7,0,68.8634,3.57143,6,0,0,1.01547,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,28,4,247.081,17129.2,26524,28428.1,0,0,0,7877.46,32.7915,9620.89,14567.4,168.32,4.68,9,9,0.0486486,2,3,3,0,19.7665,8.33333,2,0,0,4.2471,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
strict-random,random,28,4,183.002,21052.3,35707.6,37462.1,0,0,0,6731.71,35.9795,7590.34,22127.3,171.52,1.48,2,2,0.2,12,13,13,0,87.8411,1.92308,12,0,0,0.861286,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,29,4,119.576,3883.15,5595.18,5750.07,32847.8,49689.1,49696.7,912.917,34.9995,16631.5,43176.9,173.8,0.4,4,9,0.0243902,22,22,22,0,105.227,1.13636,16,0,0,2.7033,1,5.977,0,0,0,0,0,0,1,1,1
fixed-count,random,29,4,335.22,10951.7,15922.5,16018.4,0,0,0,7524.79,42.5,9677.03,11010.1,170.56,2.44,4,4,0.0243902,6,7,7,0,80.4528,3.57143,6,0,0,1.01484,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,29,4,265.709,13497,23718.4,24369.6,0,0,0,1172.42,39.1245,100.917,121.852,170.92,2.08,4,1638,0.0243902,7,8,8,0,74.3984,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-random,random,29,4,161.684,20206.2,41543.5,46545,0,0,0,6630.75,35.229,25904.3,39365,171.52,1.48,2,2,0.2,12,13,13,0,77.6083,1.92308,12,0,0,1.08038,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-random,random,29,4,485.562,6402.12,11922.3,12211.2,0,0,0,7075.96,39.9165,7381.79,11201.8,168.32,4.68,9,9,0.0486486,2,3,3,0,38.845,8.33333,2,0,0,0.964615,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
stable-group,random,29,4,323.574,0,0,0,11790.1,12050.1,12054.9,1161.38,30.708,80.4314,6064.87,174.44,0,0,0,0.4,7,7,7,0,90.6008,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,29,4,429.075,7522.67,13647.5,13891.8,0,0,0,6872.17,42.5205,6703.97,10046.3,168.32,4.68,9,9,0.0486486,2,3,3,0,34.326,8.33333,2,0,0,4.24439,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
strict-hot,hot,29,4,207.588,17704.2,23233,27636.4,0,0,0,6270.46,37.3755,16306.4,16817.7,171.52,1.48,2,2,0.2,12,13,13,0,99.6424,1.92308,12,0,0,3.61632,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
