case,workload,repetition,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,frontier_ok,recovery_ok,strict_ok
exchange-random,random,4,4,340.267,11201.3,18171,19112.3,0,0,0,8029.96,36.125,12631.8,17107.4,168.32,4.68,9,9,0.0486486,2,3,3,0,27.2213,8.33333,2,0,0,1.3104,0,-1,0.2,0.2,0.2,0,0,0,1,1,1
fixed-time,random,4,4,335.501,9717.08,20918,22501,0,0,0,1166.88,47.979,75.7606,55915,170.92,2.08,4,1638,0.0243902,7,8,8,0,93.9404,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-random,random,4,4,215.623,17842.8,21857.3,21933.4,0,0,0,7700.5,57.0835,13241.8,17445.6,171.52,1.48,2,2,0.2,12,13,13,0,103.499,1.92308,12,0,0,1.2934,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,4,4,483.659,6251.71,12661.3,12759.4,0,0,0,7134.62,38.6255,5396.73,8833.97,168.32,4.68,9,9,0.0486486,2,3,3,0,38.6927,8.33333,2,0,0,4.23127,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
fixed-count,random,4,4,313.632,10493.2,17665,20974.7,0,0,0,5665.62,32.792,6021.51,9215.88,170.56,2.44,4,4,0.0243902,6,7,7,0,75.2718,3.57143,6,0,0,1.30973,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,4,4,150.471,5155.65,8424.03,8725.97,27786.2,36734.2,38730.3,1201.71,38.5,12066.6,29687.1,173.8,0.4,4,9,0.0243902,22,22,22,0,132.414,1.13636,16,0,0,2.53086,1,9.103,0,0,0,0,0,0,1,1,1
stable-group,random,4,4,299.886,0,0,0,11742.4,15993.5,16011,1144.46,43.0625,11175.4,14072.9,174.44,0,0,0,0.4,7,7,7,0,83.968,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,4,4,229.182,16006.1,23778.5,24994.5,0,0,0,6846.96,36.125,14905.2,15572.7,171.52,1.48,2,2,0.2,12,13,13,0,110.007,1.92308,12,0,0,3.47587,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,5,4,326.589,0,0,0,10766,11396.7,11406.4,1159.04,31.4585,9111.99,9769.82,174.44,0,0,0,0.4,7,7,7,0,91.4448,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,5,4,454.246,5979.71,11614.3,12043.9,0,0,0,5965.12,32.583,10379.1,10688.8,168.32,4.68,9,9,0.0486486,2,3,3,0,36.3397,8.33333,2,0,0,4.2542,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
strict-random,random,5,4,238.343,16787.9,20542.8,20871.5,0,0,0,8092.58,36.875,15831.8,19127.6,171.52,1.48,2,2,0.2,12,13,13,0,114.405,1.92308,12,0,0,1.47044,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,5,4,105.259,3434.5,5151.39,5307.91,39717.6,70879.7,70890.3,1123.29,42.7505,40508.2,61499.3,173.8,0.4,4,9,0.0243902,22,22,22,0,92.6278,1.13636,16,0,0,2.7033,1,5.416,0,0,0,0,0,0,1,1,1
strict-hot,hot,5,4,183.242,18162.7,34793.6,35303.3,0,0,0,6251.96,51.5625,13598.9,28947,171.52,1.48,2,2,0.2,12,13,13,0,87.9561,1.92308,12,0,0,3.498,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-random,random,5,4,517.126,6128.54,10685.4,10956.7,0,0,0,6886.88,41.062,4795.91,8671.26,168.32,4.68,9,9,0.0486486,2,3,3,0,41.3701,8.33333,2,0,0,0.896717,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-count,random,5,4,336.216,11473.7,13796.5,13882.7,0,0,0,5690.25,39.7295,11094.4,12623.4,170.56,2.44,4,4,0.0243902,6,7,7,0,80.6919,3.57143,6,0,0,1.42583,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,5,4,359.688,10221.6,15477.4,15539.5,0,0,0,1150.04,42.021,148.365,22695.3,170.92,2.08,4,1638,0.0243902,7,8,8,0,100.713,3.125,0,8,0,0.852217,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,6,4,471.901,6763.88,12222.7,12422.1,0,0,0,6297.04,39.041,7654.46,10697.6,168.32,4.68,9,9,0.0486486,2,3,3,0,37.7521,8.33333,2,0,0,4.24048,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
