case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
exchange-random,random,3,100,9004,4,517.158,5424.92,12187.5,12251.2,0,0,0,6220.42,10.5205,5644.62,9518.52,168.32,4.68,9,9,0.0486486,2,3,3,0,41.3726,8.33333,2,0,0,1.29356,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,3,117,45004,4,501.726,6128.17,11016.8,11107.5,0,0,0,6099.21,11.646,7232.78,9973.92,168.32,4.68,9,9,0.0486486,2,3,3,0,40.138,8.33333,2,0,0,4.20717,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
fixed-count,random,3,100,9004,4,389.06,9808.62,11547.2,11763.2,0,0,0,6550.17,12.4165,9082.82,10137.6,170.56,2.44,4,4,0.0243902,6,7,7,0,93.3744,3.57143,6,0,0,1.03511,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
stable-group,random,3,117,9004,4,316.451,0,0,0,11701.8,12861.2,12862.7,1147.04,11.667,10698.2,11420.9,174.44,0,0,0,0.4,7,7,7,0,88.6062,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,3,117,45004,4,256.961,14980.2,18539.1,18800,0,0,0,9689.12,10.354,13424.9,16756.1,171.52,1.48,2,2,0.2,12,13,13,0,123.341,1.92308,12,0,0,3.47933,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,3,100,9004,4,251.745,16160.8,16860,16881.9,0,0,0,7591.25,11.2915,11741.2,15411.6,171.52,1.48,2,2,0.2,12,13,13,0,120.837,1.92308,12,0,0,1.73831,0,-1,strict-cap-before-fence,2097154,1048601,87,2,0,2,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-random,random,4,117,9005,4,529.081,5716.62,10418,12237.3,0,0,0,7704.04,11.167,4249.5,7124.45,168.32,4.68,9,9,0.0486486,2,3,3,0,42.3265,8.33333,2,0,0,1.31778,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
fixed-time,random,4,100,9005,4,343.059,10341.1,17592.7,18161.5,0,0,0,1148.88,11.771,26.9828,3073.72,170.92,2.08,4,1638,0.0243902,7,8,8,0,96.0566,3.125,0,8,0,2.41176,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,4,117,9005,4,249.266,15817,18744.2,19237.3,0,0,0,7686.54,11.75,7207.02,16990.2,171.52,1.48,2,2,0.2,12,13,13,0,119.648,1.92308,12,0,0,1.45633,0,-1,strict-cap-before-fence,2097154,1048601,87,2,0,2,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,4,100,45005,4,522.129,5560.54,12735.6,13397,0,0,0,6847.04,8.813,7808.07,9546.71,168.32,4.68,9,9,0.0486486,2,3,3,0,41.7703,8.33333,2,0,0,4.19702,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
