case,workload,repetition,hnsw_seed,tail_seed,requested_ack,writers,writes,queries,k_min,epsilon,comparison_epsilon,configured_cap,group_delay_us,index,actual_ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,receipt_cap,risk
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,45,stable,11812.5,1048622,1048624,1048624,208,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,46,stable,11790.584000000001,1048623,1048624,1048624,208,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,47,stable,11771.334000000001,1048624,1048624,1048624,208,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,48,stable,15906.875,1048625,1048628,1048628,212,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,49,stable,15910.458000000001,1048626,1048628,1048628,212,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,50,stable,15889.540999999999,1048627,1048628,1048628,212,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,51,stable,15846.040999999999,1048628,1048628,1048628,212,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,52,stable,10891.041999999999,1048629,1048632,1048632,216,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,53,stable,10889.583000000001,1048630,1048632,1048632,216,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,54,stable,10871.916999999999,1048631,1048632,1048632,216,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,55,stable,10851.25,1048632,1048632,1048632,216,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,56,stable,15818.375,1048633,1048636,1048636,220,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,57,stable,15795.375,1048634,1048636,1048636,220,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,58,stable,15772.084000000001,1048635,1048636,1048636,220,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,59,stable,15776.791999999999,1048636,1048636,1048636,220,0,0,0.40000000000000002
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,60,stable,9996.75,1048637,1048640,1048640,224,0,0,0.10000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,61,stable,9975.1659999999993,1048638,1048640,1048640,224,0,0,0.20000000000000001
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,62,stable,9959.25,1048639,1048640,1048640,224,0,0,0.29999999999999999
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,63,stable,9929.9590000000007,1048640,1048640,1048640,224,0,0,0.40000000000000002
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,0,weak,1254.2909999999999,1048577,1048577,160,160,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,1,weak,9988.0419999999995,1048579,1048579,1048578,162,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,2,weak,11424.125,1048580,1048580,1048578,162,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,3,weak,2109.5419999999999,1048578,1048578,160,160,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,4,weak,18497.832999999999,1048581,1048581,1048580,164,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,5,weak,19200.957999999999,1048582,1048582,1048580,164,2,2,0.20000000000000001
