case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
strict-random,random,3,100,9004,4,144.719,26764.8,41838.9,42018.9,0,0,0,8488.17,52.083,27729.7,37142.7,171.52,1.48,2,2,0.2,12,13,13,0,69.4651,1.92308,12,0,0,2.0108,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-random,random,4,117,9005,4,280.149,12323.7,19762.7,19860.4,0,0,0,8071,65.479,14860.4,19020.9,168.32,4.68,9,9,0.0486486,2,3,3,0,22.4119,8.33333,2,0,0,1.20305,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
fixed-time,random,4,100,9005,4,229.774,15535,26495.1,28152.2,0,0,0,1152.96,42,135.358,80627.1,170.92,2.08,4,1638,0.0243902,7,8,8,0,64.3369,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,4,117,9005,4,169.745,22089,28402.8,28874.6,0,0,0,7915.04,69.125,21848.3,23384.9,171.52,1.48,2,2,0.2,12,13,13,0,81.4778,1.92308,12,0,0,1.11042,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,4,100,45005,4,232.876,14601.4,28103.5,28235.9,0,0,0,8646.54,69.4375,12872.2,15387.8,168.32,4.68,9,9,0.0486486,2,3,3,0,18.63,8.33333,2,0,0,4.26705,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
fixed-count,random,4,117,9005,4,181.252,21355,29143.3,30870.1,0,0,0,6163.17,74.0415,21617.7,26866.4,170.56,2.44,4,4,0.0243902,6,7,7,0,43.5004,3.57143,6,0,0,0.865847,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,4,117,45005,4,83.2544,5265.17,10487.5,11048.9,53930.3,63606.7,63637.1,2329.58,42.375,48948.6,59498.9,173.8,0.4,4,9,0.0243902,22,22,22,0,73.2639,1.13636,16,0,0,2.7033,1,11.286,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
stable-group,random,4,100,9005,4,209.806,0,0,0,14459.3,33875.3,33893.5,1158.17,20.6045,12544.4,13927.8,174.44,0,0,0,0.4,7,7,7,0,58.7458,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,4,100,45005,4,202.495,19042.8,22049.4,22148.2,0,0,0,8217.58,62.625,18889.2,20888.7,171.52,1.48,2,2,0.2,12,13,13,0,97.1978,1.92308,12,0,0,3.22281,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
stable-group,random,5,117,9006,4,183.635,0,0,0,18960.1,22451.6,22475.9,1200.96,59.708,18525.6,20855.7,174.44,0,0,0,0.4,7,7,7,0,51.4178,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,5,117,45006,4,289.385,11487.6,19512.7,19975.2,0,0,0,9083.79,63.771,10781.5,15578.3,168.32,4.68,9,9,0.0486486,2,3,3,0,23.1508,8.33333,2,0,0,4.22669,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
strict-random,random,5,100,9006,4,128.466,30314.2,38194.3,38435.7,0,0,0,6937.46,74.875,28717.8,33825.2,171.52,1.48,2,2,0.2,12,13,13,0,61.6637,1.92308,12,0,0,1.09531,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
