case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
exchange-random,random,3,100,9004,4,397.581,8482.96,16986.7,18710.9,0,0,0,7309.17,53.021,5796.36,12400.7,168.32,4.68,9,9,0.0486486,2,3,3,0,31.8064,8.33333,2,0,0,1.75501,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,3,117,45004,4,474.771,6654.75,12525.6,12839.8,0,0,0,5268.62,50.812,5314.47,10102.3,168.32,4.68,9,9,0.0486486,2,3,3,0,37.9817,8.33333,2,0,0,4.25003,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
fixed-count,random,3,100,9004,4,296.351,12887.1,16381.2,17198.7,0,0,0,6519.79,57.792,8474.36,12057.8,170.56,2.44,4,4,0.0243902,6,7,7,0,71.1242,3.57143,6,0,0,2.12721,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
stable-group,random,3,117,9004,4,237.412,0,0,0,13961.5,22558.3,22561.7,1163.5,41.3125,11596.7,14279.8,174.44,0,0,0,0.4,7,7,7,0,66.4754,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,3,117,45004,4,180.437,21100.2,34112.2,35154.7,0,0,0,12482.6,54.479,9304.3,22002.2,171.52,1.48,2,2,0.2,12,13,13,0,86.6097,1.92308,12,0,0,3.30568,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,3,100,9004,4,191.838,21562,25738.3,28504.2,0,0,0,7452.62,48.667,13216.5,18095.2,171.52,1.48,2,2,0.2,12,13,13,0,92.0822,1.92308,12,0,0,2.59582,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-random,random,4,117,9005,4,401.518,7990.04,14461.8,14515.3,0,0,0,6831.96,48.521,6310.58,6608.72,168.32,4.68,9,9,0.0486486,2,3,3,0,32.1215,8.33333,2,0,0,1.30721,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
fixed-time,random,4,100,9005,4,295.585,12217.9,20505.6,21204.2,0,0,0,1166.08,49.854,80.8022,87.6071,170.92,2.08,4,1638,0.0243902,7,8,8,0,82.7638,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-random,random,4,117,9005,4,241.324,16773.8,17737.3,17972.9,0,0,0,7076.33,43.125,16058.5,16942.7,171.52,1.48,2,2,0.2,12,13,13,0,115.836,1.92308,12,0,0,1.50897,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,4,100,45005,4,364.426,7473.38,21262.3,21403.4,0,0,0,7018.21,64,9955.79,18436.8,168.32,4.68,9,9,0.0486486,2,3,3,0,29.154,8.33333,2,0,0,4.24064,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
