case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
fixed-count,random,0,117,9001,write,20,weak,13291,1048597,1048597,1048596,180,1,4,0.00552486,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,21,weak,11882.7,1048598,1048598,1048596,180,2,4,0.010989,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,22,weak,12258.9,1048599,1048599,1048596,180,3,4,0.0163934,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,23,weak,14044.2,1048600,1048600,1048596,180,4,4,0.0217391,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,24,weak,24251,1048601,1048601,1048600,184,1,4,0.00540541,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,0,,68,,160,160,160,0,4,0,160,1,0,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,1,,35.875,,160,160,160,0,4,0,160,1,0,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,2,,29.875,,160,160,160,0,4,0,160,1,0,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,3,,20.875,,160,160,160,0,4,0,160,1,0,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,4,,27.583,,160,160,160,0,4,0,160,1,0,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,5,,5893.96,,1048580,160,160,4,4,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,6,,39.875,,1048580,160,160,4,4,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,7,,51.625,,1048580,160,160,4,4,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,8,,27.334,,1048580,160,160,4,4,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,9,,39.666,,1048580,160,160,4,4,0.0243902,1048580,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,10,,11176.5,,1048584,1048580,164,4,4,0.0238095,1048584,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,11,,35.875,,1048584,1048580,164,4,4,0.0238095,1048584,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,12,,30.917,,1048584,1048580,164,4,4,0.0238095,1048584,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,13,,25.167,,1048584,1048580,164,4,4,0.0238095,1048584,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,14,,29.542,,1048584,1048580,164,4,4,0.0238095,1048584,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,15,,10583.4,,1048588,1048584,168,4,4,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,16,,38.958,,1048588,1048584,168,4,4,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,17,,31.959,,1048588,1048584,168,4,4,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,18,,28.583,,1048588,1048584,168,4,4,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,19,,28.875,,1048588,1048584,168,4,4,0.0232558,1048588,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,20,,11238.2,,1048592,1048588,172,4,4,0.0227273,1048592,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,21,,34.25,,1048592,1048588,172,4,4,0.0227273,1048592,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,22,,50.792,,1048592,1048588,172,4,4,0.0227273,1048592,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,23,,60.167,,1048592,1048588,172,4,4,0.0227273,1048592,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,24,,15229.3,,1048596,1048592,176,4,4,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,25,,62.25,,1048596,1048592,176,4,4,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,26,,52.083,,1048596,1048592,176,4,4,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,27,,48.375,,1048596,1048592,176,4,4,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,28,,13268.1,,1048600,1048596,180,4,4,0.0217391,1048600,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,29,,29.959,,1048600,1048596,180,4,4,0.0217391,1048600,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,30,,24.875,,1048600,1048596,180,4,4,0.0217391,1048600,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,query,31,,37.583,,1048600,1048596,180,4,4,0.0217391,1048600,1,4,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,cleanup-fence,0,stable,5726.04,0,0,0,0,0,0,0,0,0,0,terminal-unfenced-suffix,,-1
